	Domain	Group	Clade	Kingdom	Subkingdom	Division	Subdivision	Class	Order	Family	Genus	Species
Lactarius_deceptivus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius deceptivus
Lactifluus_aff.	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus_aff.
Lactifluus_allardii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus allardii
Laetiporus_ailaoshanensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus ailaoshanensis
Laetiporus_cincinnatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus cincinnatus
Laetiporus_cremeiporus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus cremeiporus
Laetiporus_gilbertsonii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus gilbertsonii
Laetiporus_huroniensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus huroniensis
Laetiporus_montanus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus montanus
Laetiporus_sulphureus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Coriolaceae	Laetiporus	Laetiporus sulphureus
Laetiporus_versisporus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus versisporus
Laetiporus_zonatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus zonatus
Lambiella_insularis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	OSLEUM clade	Trapeliales	Trapeliaceae	Lambiella	Lambiella insularis
Lanatonectria_flocculenta	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Sarcopodium	Sarcopodium macalpinei
Lanmaoa_angustispora	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Boletaceae	Lanmaoa	Lanmaoa angustispora
Lanmaoa_asiatica	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Boletaceae	Lanmaoa	Lanmaoa asiatica
Lanmaoa_carminipes	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Boletaceae	Lanmaoa	Lanmaoa carminipes
Lasallia_papulosa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Lecanoromycetes	Umbilicariales	Umbilicariaceae	Umbilicaria	Umbilicaria papulosa
Lasallia_pustulata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	OSLEUM clade	Umbilicariales	Umbilicariaceae	Lasallia	Lasallia pustulata
Lasiodiplodia_gilanensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia gilanensis
Lasiodiplodia_jatrophicola-or-crassispora	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_jatrophicola-or-crassispora
Lasiodiplodia_mediterranea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia mediterranea
Lasiodiplodia_parva	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia parva
Lasiodiplodia_pseudotheobromae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia pseudotheobromae
Lasiodiplodia_pseudotheobromae-or-theobromae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_pseudotheobromae-or-theobromae
Lasiodiplodia_theobromae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia theobromae
Lasionectria_mantuana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Lasionectria	Lasionectria mantuana
Lasiosphaeria_ovina	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Lasiosphaeria	Lasiosphaeria ovina
Lecanicillium_acerosum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium acerosum
Lecanicillium_antillanum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium antillanum
Lecanicillium_aphanocladii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium aphanocladii
Lecanicillium_attenuatum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces	Akanthomyces attenuatus
Lecanicillium_dimorphum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium dimorphum
Lecanicillium_flavidum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium flavidum
